room_id,city,title
20744,rome,Romantica Angelica - 1 Bedroom Apartment in Vaticano
20897,rome,Bed in Art Rome
21645,rome,Karolstay b&b Roma the Vatican Rooms
21996,rome,Trastevere Bright And Typical
22003,rome,TRASTEVERE CHARMING LOFT
22444,rome,Domus Colosseum
22727,rome,Bed in Monteverde - 2bdr apartment (1-6)
22819,rome,Camera Con Vista - Apt. Lazio
23521,rome,Superior Suite
23524,rome,Exclusive Suite
23527,rome,Suite Deluxe
23586,rome,Suite del Vasaio
24833,rome,Luxury Double Room
24834,rome,Sunny Triple Room
25038,rome,Cosy Apartment In The Heart Of Rome At Few Steps To Coloseum,Piazza Venezia, Ect.
25386,rome,1 Bedroom near Piazza Navona & Pantheon
25974,rome,Fabriziohome - 3 Bedroom Apartment in Testaccio, Rome
27351,rome,Cosy Apartment in the Heart of Rome at Few Steps to Coloseum, Piazza Venezia, Etc
27769,rome,1 Bedroom Apartment in San Giovanni, Roma
28282,rome,"BED IN TRASTEVERE" 1 bedroom, 2+2 guest
28283,rome,"BED IN TRASTEVERE 5" studio 2+2 guest
28722,rome,B&B Camere Belvedere Termini Guest House
28783,rome,S. Giovanni Ancient Walls Apartment
29506,rome,Welcoming 1 Bedroom Apartment in Trastevere  with Aircon - Trastevere Wonderland
29667,rome,Large 6 Bedroom B&B in Vaticano with Aircon, Pool, Gym, Doorman, and Breakfast-provided
29672,rome,Spanish Steps - Studio Apartment in Piazza di Spagna
29902,rome,Trastevere Cozy And Typical
31121,rome,BLU VATICAN
31840,rome,2-Bedroom for 4 persons - Serviced Apartments City Centre 30518
31841,rome,2-Bedroom for 3 persons - Serviced Apartments City Centre 30518
31842,rome,2-Bedroom for 2 persons - Serviced Apartments City Centre 30518
31843,rome,1-Bedroom for 1 or 2 persons - Serviced Apartments City Centre 30518
31844,rome,1-Bedroom for 5 persons - Serviced Apartments Vatican 30485
31845,rome,2-Bedroom 2 persons Low Season - Serviced Apartments Piazza Navona 16661
31846,rome,2-Bedroom 2 persons High Season - Serviced Apartments Piazza Navona 16661
31847,rome,2-Bedroom 2 persons - Serviced Apartments Trastevere 16660
31848,rome,2-Bedroom 2 persons High Season - Serviced Apartments Trastevere 16657
31849,rome,2-Bedroom 2 persons Low Season - Serviced Apartments Trastevere 16657
31850,rome,2-Bedroom 2 persons Low Season - Serviced Apartments Trastevere 16656
31851,rome,2-Bedroom 2 persons High Season - Serviced Apartments Trastevere 16656
31852,rome,2-Bedroom 2 persons High Season - Serviced Apartments Trastevere 16655
31853,rome,2-Bedroom 2 persons Low Season - Serviced Apartments Trastevere 16655
31854,rome,2-Bedroom 2 persons Low Season - Serviced Apartments Trastevere 16654
