room_id,city,title
241309,rome,Amazing Roof Terrace Colosseum
162030,rome,Cancelleria Enchanting Studio Loft
453379,rome,Vittoria Terrace
452402,rome,Vaticano Giuliana Deluxe
452178,rome,Vaticano Giuliana Suite
451755,rome,Gran Terrazza Navona
451453,rome,Trastevere Garden
167136,rome,Termini B - 1 Bedroom Apartment in Rome
337663,rome,Beautiful 1 Bedroom Apartment in Trastevere  with Aircon
347541,rome,Design Apartment Colosseum - 1 Bedroom Apartment in Rome
265334,rome,Accessible 1 Bedroom Apartment in Campo dei Fiori with Aircon and Balcony
451336,rome,Navona Romantic Roof Loft
452421,rome,Trastevere Heart
187449,rome,Lovely 1 Bedroom Apartment in Villa Borghese with Aircon, Parking, and Balcony
265337,rome,Castel Bright Boutique Domus - 1 Bedroom in Quartiere Portuense, Rome
338739,rome,Eagle Eye
203468,rome,Wonderful 1 Bedroom Apartment in Colosseo with Aircon - Monti Residence 4
162062,rome,Trastevere Amazing Panoramic Apartment
188275,rome,Panieri Cute 1 Bedroom Apartment
161968,rome,Colosseo Terrace Apartment
264652,rome,Borgo Pio Panoramic Apartment
264677,rome,Luxury Modern Design Apartment
452535,rome,Sant Angelo Bridge
419454,rome,Casa Marmorata - 2 Bedroom Apartment in Testaccio, Rome
451791,rome,Romolo Borgo Pio
451342,rome,Fienaroli
209541,rome,Pleasant 1 Bedroom Apartment in Pantheon, Rome with Aircon
445134,rome,Rome Unique Grand Urbana Duplex 2 Bedroom
187673,rome,Cozy Apartment, Colosseum
451771,rome,Piccolo Chiavari
451772,rome,Cappellari 5
451025,rome,Cappellari 73 Yellow
451026,rome,Cappellari 73 Green
451027,rome,Cappellari 73 White
428434,rome,Santissimi Quattro
161831,rome,Campo de Fiori Superb Apartment
161832,rome,Coppelle Stylish Apartment 1
161835,rome,Great 1 Bedroom Apartment in Pantheon, Rome with Aircon - Coppelle Romantic Apartment
161966,rome,Benedetta Terrace Apartment
264657,rome,Palazzo Cenci Elegant Apartment
264670,rome,Spacious 1 Bedroom Apartment in Colosseo with Aircon
167902,rome,Piazza Navona Luxury One Bedroom Apartment
264684,rome,Navona Elegant 1 Bedroom Apartment
419455,rome,Zanardelli - 1 Bedroom Apartment in Piazza Navona, Rome
451173,rome,San Eligio
452350,rome,Terrace Dream
164149,rome,Charming 1 Bedroom Apartment in Campo dei Fiori with Aircon and Balcony - Campo dè Fiori
164163,rome,Well-spaced 1 Bedroom Apartment in Vaticano - Eroi Bis
337217,rome,Parione - 1 Bedroom Apartment in Piazza Navona, Rome
162050,rome,Orso Amazing Elegant Apartment
162069,rome,Panoramic Breathtaking View Argentina
169844,rome,Palazzo Balestra Luxury Apartment
161975,rome,Pellegrino 1 Bedroom Apartment Lovely Terrace
264650,rome,Panoramic Terrace Trastevere
161996,rome,Elegant Spanish Steps Apartment
264656,rome,Monteverde Bright Apartment
264661,rome,Fantastic 1 Bedroom Apartment in Piazza Di Spagna - Popolo Family Suite
264665,rome,Spanish Steps Elegant Apartment
264666,rome,Trevi Fountain Terrace 1 Bedroom Apartment
162020,rome,Banchi Nuovi Elegant Loft
167147,rome,Trastevere E - 1 Bedroom Apartment in Trastevere
451501,rome,Trevi Fountain
347476,rome,Trendy Apartment Piazza del Popolo
364004,rome,Ideal Apartment Navona Square
